,,,,,Daytime Summer Surface Temperature : Summarize,,
Topic: Environment,,,,,,,
Subtopic: Climate,,,,,,,
Indicator Name: Daytime Summer Surface Temperature,,,,,,,
Indicator Description: Surface temperatures in NYC may vary as a function of vegetative land cover which promotes cooling or cover by paved roads sidewalks and buildings which retain heat.,,,,,,,
,,,,,,,
Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Degrees Fahrenheit,Notes Degrees Fahrenheit
2018,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Daytime Summer Surface Temperature,94.31,
2018,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Daytime Summer Surface Temperature,97.73,
2018,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Daytime Summer Surface Temperature,98.89,
2018,Neighborhood (Community District),Bronx, Belmont and East Tremont (CD6),206,Daytime Summer Surface Temperature,99.35,
2018,Neighborhood (Community District),Brooklyn, Bensonhurst (CD11),311,Daytime Summer Surface Temperature,96.33,
2018,Neighborhood (Community District),Brooklyn, Borough Park (CD12),312,Daytime Summer Surface Temperature,99.37,
2018,Neighborhood (Community District),Brooklyn, Brownsville (CD16),316,Daytime Summer Surface Temperature,100.9,
2018,Neighborhood (Community District),Brooklyn, Bushwick (CD4),304,Daytime Summer Surface Temperature,99.5,
2018,Neighborhood (Community District),Manhattan, Central Harlem (CD10),110,Daytime Summer Surface Temperature,98.34,
2018,Neighborhood (Community District),Manhattan, Clinton and Chelsea (CD4),104,Daytime Summer Surface Temperature,98.47,
2018,Neighborhood (Community District),Brooklyn, Coney Island (CD13),313,Daytime Summer Surface Temperature,96.14,
2018,Neighborhood (Community District),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Daytime Summer Surface Temperature,97.55,
2018,Neighborhood (Community District),Brooklyn, East Flatbush (CD17),317,Daytime Summer Surface Temperature,99.5,
2018,Neighborhood (Community District),Manhattan, East Harlem (CD11),111,Daytime Summer Surface Temperature,97.37,
2018,Neighborhood (Community District),Brooklyn, East New York and Starrett City (CD5),305,Daytime Summer Surface Temperature,100.01,
2018,Neighborhood (Community District),Queens, Elmhurst and Corona (CD4),404,Daytime Summer Surface Temperature,100.69,
2018,Neighborhood (Community District),Manhattan, Financial District (CD1),101,Daytime Summer Surface Temperature,94.01,
2018,Neighborhood (Community District),Brooklyn, Flatbush and Midwood (CD14),314,Daytime Summer Surface Temperature,98.62,
2018,Neighborhood (Community District),Brooklyn, Flatlands and Canarsie (CD18),318,Daytime Summer Surface Temperature,98.16,
2018,Neighborhood (Community District),Queens, Flushing and Whitestone (CD7),407,Daytime Summer Surface Temperature,99.35,
2018,Neighborhood (Community District),Bronx, Fordham and University Heights (CD5),205,Daytime Summer Surface Temperature,98.06,
2018,Neighborhood (Community District),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Daytime Summer Surface Temperature,97.69,
2018,Neighborhood (Community District),Brooklyn, Greenpoint and Williamsburg (CD1),301,Daytime Summer Surface Temperature,100.43,
2018,Neighborhood (Community District),Manhattan, Greenwich Village and Soho (CD2),102,Daytime Summer Surface Temperature,98.25,
2018,Neighborhood (Community District),Bronx, Highbridge and Concourse (CD4),204,Daytime Summer Surface Temperature,98.36,
2018,Neighborhood (Community District),Queens, Hillcrest and Fresh Meadows (CD8),408,Daytime Summer Surface Temperature,98.58,
2018,Neighborhood (Community District),Bronx, Hunts Point and Longwood (CD2),202,Daytime Summer Surface Temperature,100.81,
2018,Neighborhood (Community District),Queens, Jackson Heights (CD3),403,Daytime Summer Surface Temperature,99.74,
2018,Neighborhood (Community District),Queens, Jamaica and Hollis (CD12),412,Daytime Summer Surface Temperature,102.24,
2018,Neighborhood (Community District),Queens, Kew Gardens and Woodhaven (CD9),409,Daytime Summer Surface Temperature,101.07,
2018,Neighborhood (Community District),Bronx, Kingsbridge Heights and Bedford (CD7),207,Daytime Summer Surface Temperature,97.07,
2018,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Daytime Summer Surface Temperature,98.53,
2018,Neighborhood (Community District),Manhattan, Lower East Side and Chinatown (CD3),103,Daytime Summer Surface Temperature,97.56,
2018,Neighborhood (Community District),Manhattan, Midtown (CD5),105,Daytime Summer Surface Temperature,98.04,
2018,Neighborhood (Community District),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Daytime Summer Surface Temperature,95.47,
2018,Neighborhood (Community District),Bronx, Morris Park and Bronxdale (CD11),211,Daytime Summer Surface Temperature,100.14,
2018,Neighborhood (Community District),Bronx, Morrisania and Crotona (CD3),203,Daytime Summer Surface Temperature,99.38,
2018,Neighborhood (Community District),Bronx, Mott Haven and Melrose (CD1),201,Daytime Summer Surface Temperature,100.58,
2018,Neighborhood (Community District),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Daytime Summer Surface Temperature,97.23,
2018,Neighborhood (Community District),Bronx, Parkchester and Soundview (CD9),209,Daytime Summer Surface Temperature,98.49,
2018,Neighborhood (Community District),Queens, Queens Village (CD13),413,Daytime Summer Surface Temperature,100.83,
2018,Neighborhood (Community District),Queens, Rego Park and Forest Hills (CD6),406,Daytime Summer Surface Temperature,98.81,
2018,Neighborhood (Community District),Queens, Ridgewood and Maspeth (CD5),405,Daytime Summer Surface Temperature,97.58,
2018,Neighborhood (Community District),Bronx, Riverdale and Fieldston (CD8),208,Daytime Summer Surface Temperature,93.49,
2018,Neighborhood (Community District),Queens, Rockaway and Broad Channel (CD14),414,Daytime Summer Surface Temperature,94.75,
2018,Neighborhood (Community District),Brooklyn, Sheepshead Bay (CD15),315,Daytime Summer Surface Temperature,97.69,
2018,Neighborhood (Community District),Staten Island, South Beach and Willowbrook (CD2),502,Daytime Summer Surface Temperature,94.63,
2018,Neighborhood (Community District),Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,Daytime Summer Surface Temperature,97.56,
2018,Neighborhood (Community District),Queens, South Ozone Park and Howard Beach (CD10),410,Daytime Summer Surface Temperature,99.9,
2018,Neighborhood (Community District),Staten Island, St. George and Stapleton (CD1),501,Daytime Summer Surface Temperature,97.56,
2018,Neighborhood (Community District),Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,Daytime Summer Surface Temperature,97.4,
2018,Neighborhood (Community District),Brooklyn, Sunset Park (CD7),307,Daytime Summer Surface Temperature,96.48,
2018,Neighborhood (Community District),Bronx, Throgs Neck and Co-op City (CD10),210,Daytime Summer Surface Temperature,97.06,
2018,Neighborhood (Community District),Staten Island, Tottenville and Great Kills (CD3),503,Daytime Summer Surface Temperature,95.14,
2018,Neighborhood (Community District),Manhattan, Upper East Side (CD8),108,Daytime Summer Surface Temperature,96.5,
2018,Neighborhood (Community District),Manhattan, Upper West Side (CD7),107,Daytime Summer Surface Temperature,95.62,
2018,Neighborhood (Community District),Manhattan, Washington Heights and Inwood (CD12),112,Daytime Summer Surface Temperature,93.73,
2018,Neighborhood (Community District),Bronx, Williamsbridge and Baychester (CD12),212,Daytime Summer Surface Temperature,98.33,
2018,Neighborhood (Community District),Queens, Woodside and Sunnyside (CD2),402,Daytime Summer Surface Temperature,100.02,
,,,,,,,
Name:Daytime Summer Surface Temperature,Measure:Degrees Fahrenheit,How Calculated:<p>Daytime landsat thermal data on surface July 17 2018 averaged spatially.</p>,Source(s):U. S. Geological Survey,Year:2018,,,
,,,,,,,
NYC Department of Health and Mental Hygiene,,,,,,,
Environment & Health Data Portal,,,,,,,
More information can be found at: http://nyc.gov/health/tracking,,,,,,,
Accessed 05/19/2021,,,,,,,