Community District/Neighborhood,Geography ID,2013-2018
"Bronx 1 & 2 (Hunts Point, Longwood & Melrose)",201,69
"Bronx 1 & 2 (Hunts Point, Longwood & Melrose)",202,69
"Bronx 3 & 6 (Belmont, Crotona Park East & East Tremont)",203,70.4
"Bronx 3 & 6 (Belmont, Crotona Park East & East Tremont)",206,70.4
"Bronx 4 (Concourse, Highbridge & Mount Eden)",204,70.9
"Bronx 5 (Morris Heights, Fordham South & Mount Hope)",205,73.3
"Bronx 7 (Bedford Park, Fordham North & Norwood)",207,67.3
"Bronx 8 (Riverdale, Fieldston & Kingsbridge)",208,43.1
"Bronx 9 (Castle Hill, Clason Point & Parkchester)",209,59.1
"Bronx 10 (Co-op City, Pelham Bay & Schuylerville)",210,35.3
"Bronx 11 (Pelham Parkway, Morris Park & Laconia)",211,49
"Bronx 12 (Wakefield, Willamsbridge & Woodlawn)",212,48.4
Brooklyn 1 (Greenpoint & Williamsburg),301,42.5
Brooklyn 2 (Brooklyn Heights & Fort Greene),302,27.8
Brooklyn 3 (Bedford-Stuyvesant),303,51.3
Brooklyn 4 (Bushwick),304,53.5
Brooklyn 5 (East New York & Starrett City),305,58.2
"Brooklyn 6 (Park Slope, Carroll Gardens & Red Hook)",306,18.9
Brooklyn 7 (Sunset Park & Windsor Terrace),307,56.9
Brooklyn 8 (Crown Heights North & Prospect Heights),308,44.3
"Brooklyn 9 (Crown Heights So, Prospect Lefferts & Wingate)",309,48.5
Brooklyn 10 (Bay Ridge & Dyker Heights),310,38
Brooklyn 11 (Bensonhurst & Bath Beach),311,51.4
"Brooklyn 12 (Borough Park, Kensington & Ocean Parkway)",312,59.1
Brooklyn 13 (Brighton Beach & Coney Island),313,54
Brooklyn 14 (Flatbush & Midwood),314,47.3
"Brooklyn 15 (Sheepshead Bay, Gerritsen Beach & Homecrest)",315,42.9
Brooklyn 16 (Brownsville & Ocean Hill),316,60.7
"Brooklyn 17 (East Flatbush, Farragut & Rugby)",317,44.7
Brooklyn 18 (Canarsie & Flatlands),318,35.2
"Manhattan 1 & 2 (Battery Park City, Greenwich Village & Soho)",101,14.6
"Manhattan 1 & 2 (Battery Park City, Greenwich Village & Soho)",102,14.6
Manhattan 3 (Chinatown & Lower East Side),103,48.8
"Manhattan 4 & 5 (Chelsea, Clinton & Midtown Business District)",104,22
"Manhattan 4 & 5 (Chelsea, Clinton & Midtown Business District)",105,22
"Manhattan 6 (Murray Hill, Gramercy & Stuyvesant Town)",106,16.5
Manhattan 7 (Upper West Side & West Side),107,18.1
Manhattan 8 (Upper East Side),108,12.5
"Manhattan 9 (Hamilton Hts, Manhattanville & West Harlem)",109,46
Manhattan 10 (Central Harlem),110,45.1
Manhattan 11 (East Harlem),111,57.4
"Manhattan 12 (Washington Heights, Inwood & Marble Hill)",112,48.3
Queens 1 (Astoria & Long Island City),401,40
Queens 2 (Sunnyside & Woodside),402,42.8
Queens 3 (Jackson Heights & North Corona),403,55.4
Queens 4 (Elmhurst & South Corona),404,60
"Queens 5 (Ridgewood, Glendale & Middle Village)",405,36.9
Queens 6 (Forest Hills & Rego Park),406,29.7
"Queens 7 (Flushing, Murray Hill & Whitestone)",407,48.3
"Queens 8 (Briarwood, Fresh Meadows & Hillcrest)",408,42.4
Queens 9 (Richmond Hill & Woodhaven),409,44.3
Queens 10 (Howard Beach & Ozone Park),410,41.6
"Queens 11 (Bayside, Douglaston & Little Neck)",411,31
"Queens 12 (Jamaica, Hollis & St Albans)",412,44.3
"Queens 13 (Queens Village, Cambria Heights & Rosedale)",413,30.6
"Queens 14 (Far Rockaway, Breezy Point & Broad Channel)",414,48.4
"Staten Island 1 (Port Richmond, Stapleton & Mariner's Harbor)",501,43.7
Staten Island 2 (New Springville & South Beach),502,32
"Staten Island 3 (Tottenville, Great Kills & Annadale)",503,28